ID,NAME,abbrev,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_DESC,SOURCE,WEBSITE,PEAK_MONTH,AVAIL_CAP,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE__Are,lat,lon
14378,PACIFICORP - WEST,PACW,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",https://www.pacificorp.com/,12,70284,82223,3700,1454,4.76438E+11,-121.2062837,43.47883202
14725,"PJM INTERCONNECTION, LLC",PJM,2750 MONROE BOULEVARD,AUDUBON,PA,19403,(610) 666-8980,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.pjm.com/,8,1825685,2113887,152170,57750,1.08008E+12,-80.95218194,39.36496967
15248,PORTLAND GENERAL ELECTRIC COMPANY,PGE,121 SW  SALMON STREET,PORTLAND,OR,97204,(503) 464-8000,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.portlandgeneral-com/default-aspx,12,32974,41302,3713,1488,33542093152,-122.7553467,45.25830871
189,POWERSOUTH ENERGY COOPERATIVE,AEC,2027 EAST THREE NOTCH STREET,ANDALUSIA,AL,36421,(334) 427-3000,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.powersouth.com/,1,21848,30640,1916,531,1.36631E+11,-86.38941441,31.86346659
3046,PROGRESS ENERGY CAROLINAS - EAST AND WEST,CPLE,1411 FAYETTEVILLE S,RALEIGH,NC,27602,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",NOT AVAILABLE,1,160562,184704,13298,2800,1.64732E+11,-79.2038967,35.11220652
15466,PUBLIC SERVICE COMPANY OF COLORADO,PSCO,1800 LARIMER STREET,DENVER,CO,80202,(800) 895-4999,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.xcelenergy-com/,8,77677,87904,7980,3036,4.56779E+11,-105.8019903,39.08094936
15473,PUBLIC SERVICE COMPANY OF NEW MEXICO,PNM,MS 2730414 SILVER S.W. AS-7,ALBUQUERQUE,NM,87102,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.pnmresources.com/about-us.aspx,7,34639,36243,2608,1199,5.87144E+11,-106.9736358,34.68160503
3413,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,CHPD,P O  BOX 1231,WENATCHEE,WA,98807,(509) 663-8121,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.chelanpud-org/index-html,12,16010,21854,437,102,74093236735,-120.4632846,47.95617256
14624,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",GCPD,P O BOX 878,EPHRATA,WA,98823,(509) 754-0500,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.grantpud-org/,8,21225,25361,779,373,63323476845,-119.3774554,47.31625187
5326,PUD NO. 1 OF DOUGLAS COUNTY,DOPD,1151 VALLEY MALL PARKWAY,EAST WENATCHEE,WA,98802,(800) 503-7990,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.douglaspud-org/,12,8510,10960,386,93,41961107523,-119.728277,48.34141311
15500,PUGET SOUND ENERGY,PSEI,MS: PSE-08S,BELLEVUE,WA,98004,(888) 225-5773,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://pse.com/Pages/default-aspx,12,39958,55165,4574,1737,65983732848,-121.7064526,47.73898353
16572,SALT RIVER PROJECT,SRP,P O BOX 52025,PHOENIX,AZ,85072,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",NOT AVAILABLE,6,72221,142074,6954,2049,72165314906,-111.75764,33.33830602
16868,SEATTLE CITY LIGHT,SCL,700 FIFTH AVENUE,SEATTLE,WA,98124,(800) 862-1181,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.seattle-gov/,12,18635,31347,1783,775,12443064199,-121.8061358,47.48998031
21554,SEMINOLE ELECTRIC COOPERATIVE,SEC,16313 NORTH DALE MABRY HIGHWAY,TAMPA,FL,33618,(813) 963-0994,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.seminole-electric.com/,7,27713,3693,359,51,1.16E+11,-82.22754411,28.88707572
17539,SOUTH CAROLINA ELECTRIC & GAS COMPANY,SCEG,100 SCANA PARKWAY,CAYCE,SC,29033,(800) 251-7234,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.sceg.com/outages-emergencies/power-outages/outage-map",https://www.sceg.com/,7,61243,72366,4807,1355,47854268156,-81.07157894,33.4230845
17543,SOUTH CAROLINA PUBLIC SERVICE AUTHORITY,SC,ONE RIVERWOOD DRIVE,MONCKS CORNER,SC,29461,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",NOT AVAILABLE,1,58980,61072,4794,941,97813969190,-80.6167522,33.75048834
18195,"SOUTHERN COMPANY SERVICES, INC. - TRANS",SOCO,30 IVAN ALLEN JR. BLVD. NW,ATLANTA,GA,30308,(404) 506-5000,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",https://www.southerncompany.com/,7,730737,660796,45488,,4.62514E+11,-85.43990982,32.36092899
59504,SOUTHWEST POWER POOL,SWPP,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.spp.org/,7,683476,942939,50499,20051,2.44307E+12,-99.20945503,39.91661879
17716,SOUTHWESTERN POWER ADMINISTRATION,SPA,14165 EAST 143RD STREET SOUTH,GORE,OR,74435,(918) 489-5582,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",https://www.swpa.gov/,8,21338,26640,132,10,2462086877,-90.64105437,36.1538281
18454,TAMPA ELECTRIC COMPANY,TEC,702 NORTH FRANKLIN STREET,TAMPA,FL,33602,(888) 223-0800,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census, https://www.tampaelectric.com/residential/outages/outagemap/",http://www.tampaelectric.com/,7,48952,60086,4101,1137,5614606252,-82.16208446,27.99773798
18642,TENNESSEE VALLEY AUTHORITY,TVA,400 W. SUMMIT HILL DR,KNOXVILLE,TN,37902,(865) 632-2101,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.tva.gov/,1,379628,453113,29824,11153,3.02041E+11,-86.93360831,35.38181703
24211,TUCSON ELECTRIC POWER COMPANY,TEPC,88 EAST BROADWAY,TUCSON,AZ,85701,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",http://www.uns.com/,6,32082,42310,3200,1099,1.1314E+11,-112.2407619,33.68151716
19281,TURLOCK IRRIGATION DISTRICT,TIDC,333 EAST CANAL DRIVE,TURLOCK,CA,95380,NOT AVAILABLE,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",NOT AVAILABLE,7,7158,8736,619,186,23856947565,-120.4885755,37.61970982
25471,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,WALC,P O BOX 6457,PHOENIX,AZ,85005,(602) 605-2525,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.wapa.gov/,7,1032,3751,147,28,1.03372E+12,-114.2571258,36.00648323
28503,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,WACM,P O BOX 3700,LOVELAND,CO,80539,(970) 461-7200,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.wapa.gov/,7,96398,107887,4057,2001,1.4628E+12,-105.6196483,41.33714337
19610,WESTERN AREA POWER ADMINISTRATION UGP WEST,WAUW,P O BOX 35800,BILLINGS,MT,59107,(406) 255-2800,USA,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",https://www.wapa.gov/,7,32753,36746,1363,503,1.42993E+12,-103.45147,45.89554551
